ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Africa,Kenya,10.01,6.29,13.74
Americas,Trinidad and Tobago,10.02,7.44,12.55
Europe,United Kingdom of Great Britain and Northern Ireland,10.06,9.73,10.39
Americas,Grenada,10.08,7.07,13.2
Americas,Brazil,10.09,8.23,12.46
Europe,Denmark,10.12,9.37,10.97
Europe,Russian Federation,10.19,8.58,12.57
Europe,Spain,10.19,9.94,10.38
Americas,Grenada,10.22,7.15,13.37
Americas,Grenada,10.22,7.15,13.37
Americas,Trinidad and Tobago,10.26,7.93,12.59
Europe,France,10.27,10.06,10.49
Americas,Guyana,10.33,5.34,16.66
Europe,Austria,10.34,10,10.76
Europe,Lithuania,10.37,9.29,11.22
Americas,Haiti,10.38,5.52,17.73
Americas,Trinidad and Tobago,10.39,8.17,12.78
Americas,Trinidad and Tobago,10.39,8.24,12.69
Americas,Trinidad and Tobago,10.4,8.09,12.76
Americas,Belize,10.44,4.31,19.96
Americas,Belize,10.44,4.42,20.12
Americas,Belize,10.45,4.57,20.74
Europe,France,10.46,10.27,10.65
Africa,Mauritius,10.48,8.25,12.84
Africa,Mauritius,10.48,8.25,12.88
Europe,Netherlands (Kingdom of the),10.5,10.02,11.03
Americas,Belize,10.51,4.32,20.56
Americas,Belize,10.51,4.33,20.5
Western Pacific,Japan,10.51,9.52,11.45
Africa,Mauritius,10.53,8.19,13.29
Europe,Germany,10.55,10.34,10.78
Europe,Denmark,10.7,10.14,11.47
Europe,Germany,10.73,10.56,10.93
Europe,Netherlands (Kingdom of the),10.74,10.39,11.13
Africa,Namibia,10.81,6.05,17.66
Western Pacific,Japan,10.84,10.02,11.55
Americas,Cuba,10.86,7.46,16.91
Europe,Netherlands (Kingdom of the),10.88,10.53,11.29
Americas,Suriname,10.89,5.69,17.35
Americas,Brazil,10.94,9.37,13.01
Americas,Argentina,11.07,8.82,13.4
Europe,Belgium,11.08,10.51,11.56
Western Pacific,Japan,11.1,10.41,11.76
Americas,Guyana,11.11,5.71,18.35
Africa,Mauritius,11.13,8.68,13.85
Europe,Netherlands (Kingdom of the),11.15,10.85,11.45
Europe,Germany,11.15,10.98,11.36
Americas,Argentina,11.23,8.67,13.86
Europe,Austria,11.24,10.93,11.52
Americas,Guyana,11.25,5.72,18.87
Europe,Belgium,11.26,10.87,11.62
Americas,Brazil,11.26,9.81,13.22
Western Pacific,Japan,11.32,10.67,11.93
Europe,France,11.34,11.14,11.58
Americas,Paraguay,11.46,7.69,18.18
Europe,Austria,11.51,11.2,11.88
Europe,Lithuania,11.52,9.99,13.25
Europe,Latvia,11.55,10.04,13.08
Europe,Belgium,11.57,11.17,11.94
Americas,Panama,11.6,8.58,15.76
Europe,Lithuania,11.67,10.67,12.8
Americas,Guyana,11.7,5.98,19.88
Americas,Brazil,11.75,10.48,13.56
Americas,Panama,11.78,8.46,15.13
Africa,Namibia,11.81,6.32,18.88
Europe,Lithuania,11.83,10.98,12.65
Americas,Panama,11.85,8.33,15.4
Americas,Panama,11.89,8.37,15.14
Europe,Germany,11.92,11.73,12.15
Americas,Argentina,11.97,8.14,16.58
Americas,Guyana,12.01,6.2,20.48
Europe,Latvia,12.02,10.69,13.42
Europe,France,12.03,11.75,12.37
Americas,Argentina,12.04,8.92,15.57
Americas,Panama,12.05,8.88,16.7
Europe,Republic of Moldova,12.06,8.9,15.44
Europe,Ukraine,12.15,9.11,15.73
Americas,Suriname,12.17,6.81,18.69
Europe,Malta,12.21,10.45,14.34
Europe,Romania,12.23,11.49,12.95
Europe,Italy,12.26,12.04,12.53
Europe,Republic of Moldova,12.29,9.06,15.98
Europe,Belgium,12.3,11.95,12.67
Americas,Paraguay,12.31,9.32,17.95
Africa,Kenya,12.33,7.45,17.28
Africa,Zimbabwe,12.34,6.72,21.17
Africa,Namibia,12.34,6.95,19.21
South-East Asia,Maldives,12.34,9.54,16.24
Europe,Republic of Moldova,12.37,9.11,15.99
Europe,Austria,12.42,12.11,12.88
Americas,Paraguay,12.49,9.21,17.81
Africa,Botswana,12.51,8.89,18.39
Africa,Kenya,12.52,7.8,17.78
Africa,Kenya,12.68,8.05,18.19
South-East Asia,Maldives,12.69,10.01,16.48
Europe,Greece,12.7,11.16,14.39
Europe,Republic of Moldova,12.74,9.25,16.78
Americas,Suriname,12.78,7.1,19.85
Eastern Mediterranean,Morocco,12.8,10.03,16.59
Africa,Botswana,12.82,9.27,18.78
Americas,Argentina,12.85,9.05,17.3
Europe,Malta,12.93,11.84,14.32
Americas,Cuba,12.93,8.96,19.52
Europe,Malta,12.94,11.85,14.33
South-East Asia,Maldives,13,10.33,16.7
Europe,Cyprus,13.01,10.88,15.19
Americas,Suriname,13.03,7.35,19.97
Africa,Zimbabwe,13.07,7,22.99
Europe,Malta,13.08,12.05,14.44
Africa,Zimbabwe,13.08,7.05,22.7
Europe,Ukraine,13.12,9.41,18.28
Africa,Namibia,13.13,6.65,22.32
Americas,Colombia,13.14,10.66,16.55
Eastern Mediterranean,Morocco,13.2,10.6,16.87
Americas,Suriname,13.21,7.5,20.06
Americas,Paraguay,13.23,10.04,18.11
Americas,Colombia,13.26,11.25,16.03
Europe,Romania,13.3,12.55,14.1
Americas,Cuba,13.32,9.73,19.28
Western Pacific,Singapore,13.33,10.54,17.56
Western Pacific,Singapore,13.33,10.54,17.56
Western Pacific,Singapore,13.33,10.54,17.56
Europe,Austria,13.33,12.86,14.13
Europe,Belarus,13.41,11.06,15.92
Eastern Mediterranean,Morocco,13.44,11.03,16.52
Europe,Slovenia,13.44,12.49,14.47
Europe,Hungary,13.45,12.46,14.43
Americas,Paraguay,13.5,10.3,18.17
Europe,Ukraine,13.51,10.05,18.45
Eastern Mediterranean,Somalia,13.53,7.9,22.52
Europe,Czechia,13.56,13.06,14.16
Europe,Republic of Moldova,13.63,9.53,18.61
Europe,Romania,13.71,12.46,15.14
Eastern Mediterranean,Morocco,13.73,11.38,16.69
Americas,Jamaica,13.75,11.35,16.37
South-East Asia,Maldives,13.79,10.62,18.3
Americas,Costa Rica,13.87,11.04,17.53
South-East Asia,Maldives,13.88,10.82,18.27
Africa,Botswana,13.9,10.26,19.53
Eastern Mediterranean,Morocco,13.92,11.62,16.64
Americas,Jamaica,13.99,11.78,16.29
Europe,Italy,14.01,13.73,14.29
Africa,Comoros,14.02,7.13,23.62
Americas,Colombia,14.04,11.7,16.76
Africa,Namibia,14.04,6.23,27.66
Europe,Hungary,14.05,13.23,15.16
Europe,Slovenia,14.07,13.3,14.97
Europe,Slovenia,14.08,13.36,14.9
Europe,Romania,14.11,13.21,15.09
Europe,Latvia,14.13,12.75,15.79
Africa,South Africa,14.21,11.93,16.18
Europe,Italy,14.22,13.99,14.44
Americas,Costa Rica,14.23,11.96,17.2
Europe,Hungary,14.24,13.4,15.11
Eastern Mediterranean,Somalia,14.26,7.64,24.24
Eastern Mediterranean,Somalia,14.28,7.65,24.25
Europe,Czechia,14.34,13.96,14.79
Africa,Kenya,14.34,8.17,20.51
Europe,Greece,14.37,12.55,16.23
Africa,Comoros,14.37,7.4,23.58
Africa,Comoros,14.38,7.39,23.6
Eastern Mediterranean,Somalia,14.41,7.17,27.6
Africa,Botswana,14.42,10.54,20.31
Africa,Zimbabwe,14.47,7.16,26.76
Africa,United Republic of Tanzania,14.47,9.87,21.47
Africa,Comoros,14.49,7.48,23.65
Europe,Ukraine,14.51,10.47,20.27
Europe,Cyprus,14.52,12.86,16.16
Europe,Cyprus,14.55,12.83,16.8
Europe,Slovenia,14.6,13.97,15.4
Europe,Romania,14.61,13.94,15.26
Europe,Greece,14.62,13.51,15.76
Europe,Belarus,14.67,12.3,17.24
Americas,Costa Rica,14.7,12.73,17.14
Africa,Comoros,14.71,7.66,23.83
Europe,Italy,14.73,14.48,14.93
Africa,Madagascar,14.73,9.97,21.7
Africa,Eswatini,14.77,10.4,19.62
Africa,Botswana,14.78,10.36,20.8
